Key,Value
0,"FUERZA[/center]
La fuerza rige la carga máxima, el daño de arma[/left]
y la facilidad para mejorar habilidades de fuerza.[/left]
Con tu fuerza de %str, se te considera %ark[/left]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]es el modificador aplicado a tu daño[/left]
[/pos:x=40,y=0]de combate cuerpo a cuerpo y armas.[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]kilogramos es tu carga máxima permitida.[/left]
[/end]"
1,"INTELIGENCIA[/center]
La inteligencia rige el potencial mágico total[/left]
y la facilidad para mejorar habilidades de inteligencia.[/left]
Con tu inteligencia de %int, se te considera %ark.[/left]
[/pos:x=20,y=0]Tienes %spc de %spt puntos de hechizo para lanzar.[/left]
[/end]"
2,"VOLUNTAD[/center]
La voluntad rige la resistencia a efectos mágicos[/left]
y la facilidad para mejorar habilidades de voluntad.[/left]
Con tu voluntad de %wil, se te considera %ark.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]es el modificador aplicado a tu resistencia mágica.[/left]
[/end]"
3,"AGILIDAD[/center]
La agilidad rige la capacidad de golpear objetivos,[/left]
evitar ser golpeado y la facilidad para mejorar[/left]
habilidades de agilidad. Con tu agilidad de %agi,[/left]
se te considera %ark.[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]es el modificador aplicado a tus probabilidades de combate.[/left]
[/end]"
4,"RESISTENCIA[/center]
La resistencia rige los puntos de vida, la tasa de curación,[/left]
la resistencia a venenos y enfermedades, y la fatiga.[/left]
Con tu resistencia de %end, se te considera %ark.[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]es el modificador aplicado a la cantidad de[/left]
[/pos:x=40,y=0]puntos de vida que ganas en cada nivel.[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]es el modificador aplicado a tu tasa de curación.[/left]
[/end]"
5,"PERSONALIDAD[/center]
La personalidad rige la facilidad para mejorar las[/left]
habilidades relacionadas con la personalidad.[/left]
Con tu personalidad de %per, se te considera %ark.[/left]
[/end]"
6,"VELOCIDAD[/center]
La velocidad rige el ritmo de movimiento, el tiempo de[/left]
recarga de proyectiles y todas las habilidades de velocidad.[/left]
Con tu velocidad de %spd, se te considera %ark.[/left]
[/end]"
7,"SUERTE[/center]
La suerte es un poderoso modificador para cualquier acción.[/left]
No hay habilidades donde la suerte sea el atributo principal,[/left]
pero tus probabilidades de éxito en cualquier prueba de[/left]
habilidad se ven modificadas por tu suerte.[/left]
Con tu suerte de %luc, se te considera %ark.[/left]
[/end]"
8,"El entrenamiento te costará %a.[/center]
¿Deseas recibir entrenamiento?[/end]"
10,Creo que tienen uno en %fcn.[/end]
11,"No tengo ni idea.[/record]
Sinceramente, no sabría decirte.[/record]
No lo sé, la verdad...[/record]
Prueba a preguntar a otra persona.[/record]
Dímelo tú.[/end]"
12,No tienes hechizos en tu libro de hechizos.[/end]
13,"No hay ningún lugar con[/center]
ese nombre en tu mapa.[/center]
[/end]"
14,Debes distribuir tus puntos de bonificación.[/end]
15,¿Deseas rendirte ante la guardia de la ciudad?[/end]
16,Estás consultando demasiados días en el futuro.[/end]
17,Es ilegal acampar dentro o cerca de una ciudad.[/end]
18,Estás sano.[/end]
19,No tienes afiliaciones.[/end]
20,No hay ningún alma que liberar de la Estrella de Azura.[/end]
21,No puedes entrenar una habilidad que esté por encima del 50%.[/end]
22,"Estás en %cn.[/center]
Son las %tim del %dat.[/center]
A ojos de la ley de %crn,[/center]
tu reputación es %ltn.[/center]
[/end]"
23,"Tienes que esperar al menos 12 horas antes de[/center]
poder realizar más entrenamiento.[/center]
[/end]"
24,"Esto no necesita ser reparado.[/center]
[/end]"
25,"Tienes %gii piezas de oro. ¿Cuántas[/center]
deseas soltar?[/center]
[/input] [/center]
[/end]"
26,"No puedes descansar más de[/center]
99 horas seguidas.[/center]
[/end]"
27,"No puedes merodear más de[/center]
3 horas seguidas.[/center]
[/end]"
28,%hnt[/end]
29,"El objeto %it está roto.[/center]
[/end]"
30,"No tienes ninguna enfermedad.[/center]
[/end]"
31,"¿Deseas viajar a[/center]
%tcn?[/center]
[/end]"
32,"El alma ha sido liberada.[/center]
[/end]"
33,"No puedes reparar objetos mágicos.[/center]
[/end]"
34,"No tienes ingredientes para pociones.[/center]
[/end]"
35,"Tu reputación ha cambiado de la siguiente forma:[/left]
[/left]
Plebeyos: [/pos:x=70,y=0]%r1[/left]
Mercaderes: [/pos:x=70,y=0]%r2[/left]
Eruditos: [/pos:x=70,y=0]%r3[/left]
Nobleza: [/pos:x=70,y=0]%r4[/left]
Bajos Fondos: [/pos:x=70,y=0]%r5[/left]
[/end]"
36,"Ha pasado demasiado tiempo desde que saciaste[/center]
tu necesidad de matar como vampiro. Eres incapaz[/center]
de recuperar tus fuerzas.[/center]
[/end]"
37,"Esto parece propiedad privada. ¿Aún así[/center]
deseas registrarlo?[/center]
[/end]"
38,"¿Deseas acceder a tu carromato[/center]
y quedarte en %cn?[/center]
[/end]"
100,"Has contraído Viruela de las Brujas.[/center]
Deteriorará lentamente tu fuerza, resistencia[/center]
y salud hasta que te cures o mueras.[/center]
[/end]"
101,"Has contraído la Peste,[/center]
una enfermedad muy grave y a menudo fatal.[/center]
Se extenderá por todo tu sistema con rapidez.[/center]
Pocos de los que la contraen viven más de[/center]
unos días a menos que sean curados pronto.[/center]
[/end]"
102,"Has contraído la Fiebre Amarilla.[/center]
Tu resistencia, voluntad y salud disminuirán[/center]
cada día hasta que encuentres una cura[/center]
o mueras.[/center]
[/end]"
103,"Has contraído Putrefacción Estomacal.[/center]
Es una afección permanente, a menos que se te[/center]
cure, caracterizada por un ligero descenso[/center]
diario de la salud.[/center]
[/end]"
104,"Has contraído Consunción.[/center]
Tu voluntad, agilidad y fuerza te abandonarán[/center]
lentamente hasta que seas curado o mueras.[/center]
[/end]"
105,"Has contraído Fiebre Cerebral.[/center]
Es una muerte lenta, mientras tu voluntad,[/center]
tu salud e incluso tu personalidad se agotan[/center]
día tras día. Debes buscar una cura o[/center]
enfrentarte al olvido.[/center]
[/end]"
106,"Has contraído Putrefacción de Pantano.[/center]
Cada día tu voluntad, agilidad y fuerza[/center]
caerán, hasta que te consumas por completo[/center]
o seas curado.[/center]
[/end]"
107,"Has contraído la Maldición de Caliron.[/center]
Algunas personas se han recuperado por sí solas[/center]
en una semana o dos, pero su fuerza,[/center]
velocidad y agilidad quedan mermadas. Es[/center]
mejor curar la enfermedad rápidamente.[/center]
[/end]"
108,"Has contraído Cólera,[/center]
una de las enfermedades más mortíferas de[/center]
Tamriel y siempre fatal a menos que se reciba[/center]
ayuda muy, muy pronto.[/center]
[/end]"
109,"Has contraído Lepra[/center]
y te consumirás lentamente, un poco[/center]
cada día, a menos que seas curado.[/center]
[/end]"
110,"Has contraído Putrefacción de Herida,[/center]
la cual erosionará muy lentamente tu[/center]
fuerza, resistencia y salud hasta que[/center]
logres curarte.[/center]
[/end]"
111,"Has contraído la Muerte Roja,[/center]
una enfermedad muy grave que puede diezmar[/center]
rápidamente la resistencia e incluso destruir[/center]
la personalidad de la víctima hasta que reciba[/center]
una cura o muera.[/center]
[/end]"
112,"Has contraído Putrefacción de Sangre,[/center]
la cual afectará negativamente a tu salud,[/center]
personalidad y voluntad durante los próximos[/center]
días o semanas a menos que la cures. Algunos[/center]
no han hallado cura y han muerto por esta[/center]
enfermedad.[/center]
[/end]"
113,"Has contraído Fiebre Tifoidea,[/center]
una enfermedad mortal que afecta a la inteligencia,[/center]
resistencia y salud de la víctima.[/center]
La afección es permanente, salvo que medie[/center]
una cura o la muerte.[/center]
[/end]"
114,"Has contraído Demencia,[/center]
una enfermedad espantosa que roba lentamente[/center]
a la víctima su inteligencia, voluntad e[/center]
incluso personalidad, hasta que muere o[/center]
se le aplica una cura.[/center]
[/end]"
115,"Has contraído Chrondiasis,[/center]
una enfermedad mágica que consumirá[/center]
tu inteligencia y magia innata[/center]
día tras día. Debe ser curada,[/center]
o acabará matándote.[/center]
[/end]"
116,"Has contraído Fiebre del Mago,[/center]
una enfermedad mágica a veces irritante[/center]
y otras devastadora. Algunos la han[/center]
sufrido y apenas la han notado antes[/center]
de que la fiebre remitiera sola, pero[/center]
otros han quedado lerdos. Tu magia[/center]
innata e inteligencia se agotarán día[/center]
tras día hasta por tres semanas.[/center]
[/end]"
117,"Has sido envenenado.[/center]
[/end]"
200,"¿Por qué el %ra puso las letras 'D.E.P.' en sus botas? ¡Para recordarse que los Dedos Entran Primero![/record]
¡La mayoría de los árboles genealógicos %ra no tienen ramas![/record]
¿Qué tienen en común un %ra y una botella de oporto? ¡Que ambos están vacíos del cuello para arriba![/record]
Sabes, podrías ser un %ra si tienes grasa bajo las uñas de los pies.[/record]
¿Cómo haces que los ojos de un %ra brillen? ¡Ponle una antorcha en la oreja![/record]
Sabes, podrías ser un %ra si es imposible ver las manchas de comida en tu armadura.[/record]
¿Qué dijo la chica %ra después de que alguien le soplara en el oído? '¡Gracias por el recambio!'[/record]
¿Cómo llamas a un %ra con medio cerebro? ¡Superdotado![/record]
¿Por qué las mujeres %ra usan ropa interior? ¡Para mantener calientes sus tobillos![/record]
¿Cómo haces reír a un %ra un Loredas? ¡Cuéntale un chiste el Fredas![/record]
Sabes, solo hace falta una copa para emborrachar a un %ra. No recuerdo si es la decimotercera o la decimocuarta.[/record]
¿Cómo llamas a un sótano con más de un %ra? ¡Una bodega de QUEJAS![/record]
En el %nt, escupir te costará una pieza de cobre. ¡Pero puedes vomitar gratis![/record]
¿Qué tienen en común un %ra inteligente y un orcoblin? ¡Que ambos están extintos![/record]
Muchos dicen que los niños %ra procrastinan demasiado. Bueno, ¡ya verás![/record]
¿Qué hace un %ra cuando se tapa las orejas con fuerza? ¡Intenta retener un pensamiento![/record]
¿Cómo sabes si un %ra está mintiendo? ¡Porque mueve los labios![/record]
¿Qué le dices a una mujer %ra para convencerla de ir a la cama? ¡Tómate otra cerveza![/record]
¿Por qué %cn tiene la mayoría de aventureros %ra y %cn2 la mayoría de goblins? ¡Porque %cn2 eligió primero![/record]
¿Qué es lo primero que hace una mujer %ra por la mañana? ¡Caminar a casa![/record]
¿Qué dijo la mujer %ra cuando le dijeron que estaba embarazada? '¿Es mío?'[/record]
Lo que a un %ra le falta de inteligencia, le sobra de estupidez.[/record]
No comeré nada que tenga vida inteligente, pero me comería felizmente a un político o a un %ra.[/end]"
201,"¡Por la barba de Thorig![/record]
¡Por el martillo de Olfor![/record]
¡Por el Lobo Blanco![/record]
¡Por los páramos helados![/record]
¡Por el Padre de la Escarcha![/record]
Madre del Hielo[/record]
Fuego de escarcha[/record]
¡Por los acantilados de Soledad![/record]
¡Por el Mar del Norte![/record]
Por la barba de Thorig[/end]"
202,"¡Por el Dios-Rata![/record]
Puta de Alizahad[/record]
Polvo de Orcrest[/record]
¡Por las arenas de Elsweyr![/record]
¡Por el Agua Bendita![/record]
¡Por la mano de Ibrahad![/record]
Sol del desierto[/record]
¡Por el Corazón Seco![/record]
¡Por el Agua de la Vida![/record]
Demonio de las arenas[/end]"
203,"¡Por los Dientes del Dragón![/record]
Dientes del Dragón[/record]
Maldito Darvak[/record]
¡Por el nombre de mi padre![/record]
¡Por Rourken![/record]
¡Por el Gran Martillo![/record]
¡Por el Rey Enano![/record]
Barba del Rey Enano[/record]
¡Por la sangre del Guardián![/record]
¡Por el Primer Gusano![/record]
Espada espiritual[/record]
¡Por la hoja![/record]
¡Por Divad![/record]
¡Por Katrica![/record]
¡Por la Doncella![/record]
¡Por Frandar![/record]
Stendarr nos preserve[/record]
¡Por el Sol![/end]"
204,"¡Por las aguas de Salto Estelar![/record]
Bendice a mi señor[/record]
¡Por la cripta![/record]
Maldita sea la muerte[/record]
¡Por mi señora![/record]
¡Por las nieblas![/record]
¡Por el lobo![/record]
¡Por el Señor Oscuro![/record]
Espíritus de Roca Alta[/record]
¡Por el Archidruida![/record]
¡Por Pelagio![/record]
Locura[/record]
¡Por el dragón![/record]
Maldito sea el dragón[/end]"
205,"Demonio del pantano[/record]
Ciénaga de Bosque Oscuro[/record]
¡Por los dioses![/record]
¡Por el trono de Aphicles![/record]
¡Por las hojas del destino![/record]
¡Por el Solitario![/record]
Hueste de Bastión de la Tormenta[/record]
¡Por el espíritu del pantano![/record]
¡Por la Diosa Madre![/record]
Fuego del cenagal[/end]"
206,"¡Por la Arboleda de Elden![/record]
¡Por los espíritus del bosque![/record]
¡Por el saber del bosque![/record]
¡Por la maldición de Mistria![/record]
Espíritus del bosque[/record]
Hadas de la arboleda[/record]
¡Por el corazón de Caliron![/record]
¡Por la raíz![/record]
Fuego de Raíz de Elden[/record]
¡Por el fuego[/end]"
207,"¡Por el Altísimo![/record]
¡Por el Cristal Blanco![/record]
¡Por el bosque de Elborn![/record]
¡Por la Divisoria Azul![/record]
Luz de hadas[/record]
¡Por el Otromundo![/record]
Primer espíritu de Tamriel[/record]
Hoja de Cassimoran[/record]
Cristales de Estivalia[/record]
¡Por el Primer Espíritu[/end]"
208,"¡Por la Isla Negra![/record]
¡Por los Oscuros![/record]
¡Por los fuegos de Dagoth-Ur![/record]
¡Por la Reina Loca![/record]
¡Por las Fauces Negras![/record]
Diosa Oscura, protégenos[/record]
¡Por la noche![/record]
Alma del Caballero Negro[/record]
¡Por el Desalmado![/record]
Sangre de fuego[/end]"
250,"[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
El %sub por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %sub por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub %pp2 por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub %pp2 por %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub %pp2 por %an[/end]"
255,¿De dónde venís?[/end]
256,"Alguien exclama: ""Adelante"".[/record]
Oyes: ""¡Bienvenido!""[/record]
Una voz irritada grita: ""Está abierto"".[/record]
Alguien dice: ""Pasa, pasa"".[/record]
Una voz alegre dice: ""Bienvenido a mi hogar"".[/record]
Una voz exclama: ""Podéis entrar"".[/end]"
260,"""Vuestra presencia honra mi humilde tienda,[/center]
%pcn. Aunque necesito el doble para[/center]
alimentar a mi famélica familia, os lo[/center]
dejaré por %a piezas de oro"".[/center]
[/record]
""Sois un negociador formidable,[/center]
%pct. El precio habitual es mucho[/center]
mayor, pero puedo hacer un trato con vos,[/center]
y solo con vos. %a piezas de oro y[/center]
es vuestro"".[/center]
[/record]
""Mi querido %pcf, por nadie, ni por mi[/center]
familia más cercana ni mis mejores amigos,[/center]
consideraría vender eso por %a[/center]
piezas de oro. Por nadie, quiero decir,[/center]
excepto por vos"".[/center]
[/record]
""Esto está muy por debajo de un precio justo;[/center]
conozco el mercado. Por otro lado, en[/center]
ciertos casos muy raros, obtener beneficios[/center]
es lo menos importante. Puedo asumir las[/center]
pérdidas en vuestro caso. %a piezas de[/center]
oro, buen %pcf, y es vuestro"".[/center]
[/end]"
261,"""%cpn se enorgullece de tener los[/center]
precios más bajos de %cn. Aunque habéis[/center]
regateado conmigo hasta que el sol está[/center]
bajo en el cielo, no puedo venderlo por[/center]
menos de %a piezas de oro"".[/center]
[/record]
""Habéis regateado largo y tendido,[/center]
%pcn. Terminemos con esto. Normalmente[/center]
cobraría más, pero por vos solo pido[/center]
%a de oro. En verdad es una miseria"".[/center]
[/record]"
262,"""Basta de regateos. Mi precio es de[/center]
%a piezas de oro. Lo tomáis o lo dejáis"".[/record]
""Serán %a piezas de oro. Habéis logrado[/center]
rebajarlo hasta ahí"".[/record]
[/record]
Tras una larga sesión de regateo...[/center]
""%a piezas de oro es mi oferta final"".[/center]
[/end]"
263,"""Basta de este eterno trapicheo. Es obvio[/center]
que tenéis una gran necesidad. Normalmente[/center]
pagaría mucho menos, pero por vos[/center]
ofreceré %a de oro"".[/center]
[/record]
""Escuchad, os ofreceré el máximo absoluto[/center]
que puedo sin arruinarme. Aquí tenéis[/center]
%a de oro. Tomadlo y decidle a todos[/center]
vuestros amigos que me habéis estafado"".[/center]
[/record]
""Os daré el precio que solo ofrezco a mis[/center]
amigos íntimos y familia. El valor de mercado[/center]
de eso es mucho menor, pero creo que[/center]
puedo daros %a de oro"".[/record]
""Nada mal, nada mal. A la mayoría le daría[/center]
menos, pero por vos, %a de oro. Esa es[/center]
mi mejor oferta absoluta"".[/center]
[/record]"
264,"""Quizás podáis conseguir más de %a de oro[/center]
por eso en otro lugar, pero es un precio justo.[/center]
Y es mi única oferta"".[/center]
[/record]
""Puedo daros %a piezas de oro. Si[/center]
alguien más os ofrece más, os aconsejo[/center]
que vayáis con él. %a de oro es todo lo[/center]
que vale para mí"".[/center]
[/record]
""No hay un gran mercado para esto, pero[/center]
puedo venderlo. Os daré %a piezas de oro,[/center]
un precio perfectamente justo"".[/center]
[/record]
""Sí, tenéis razón. Buena calidad en general.[/center]
Ofreceré un poco más que el precio[/center]
estándar: %a piezas de oro"".[/center]
[/record]"
265,"""No tengo tiempo para gente como vos. Solo[/center]
pagaré %a por semejante basura"".[/record]
""%a de oro, chaval. Lo tomas o lo dejas"".[/center]
[/record]
""Basta de regateos torpes, chaval. Te daré[/center]
%a de oro, y es lo máximo a lo que llegaré.[/center]
Punto"".[/center]
[/record]
""Escucha, %ra. Ambos sabemos que eso no[/center]
vale ni una pieza más de %a de oro,[/center]
¿verdad? Así que no finjamos. No tienes[/center]
por qué aceptar, pero es lo que pagaré"".[/center]
[/record]"
266,"El incienso y la música suave calman tus nervios[/center]
al cruzar el umbral. Cada objeto en esta[/center]
tienda está cuidadosamente montado y[/center]
exhibido. No se detecta ni el más mínimo[/center]
defecto en ningún artículo del interior.[/center]
[/end]"
267,"La tienda está mejor equipada que muchas otras.[/center]
Sus mercancías reposan ordenadas en los estantes.[/center]
Aunque no son dignas de un rey, todas están[/center]
artísticamente elaboradas.[/center]
[/end]"
268,"La tienda está dispuesta de manera práctica y[/center]
directa. Todos los artículos parecen ser de[/center]
una construcción adecuada.[/center]
[/end]"
269,"Estantes robustos, armados con maderas de[/center]
desecho, sostienen las mercancías. Los[/center]
objetos son sólidos y funcionales, pero[/center]
poco más que eso.[/center]
[/end]"
270,"Reliquias oxidadas yacen donde fueron arrojadas[/center]
por última vez. Todas las mercancías muestran[/center]
grietas y muescas de una mano de obra mediocre.[/center]
Un ratón corretea sobre tus pies antes de[/center]
esconderse en un saco cercano.[/center]
[/end]"
282,"¡Enhorabuena! Habéis comprado una encantadora[/center]
casa aquí en %cn.[/center]
[/end]"
283,"¡Enhorabuena! Habéis comprado un robusto[/center]
navío capaz de transportaros a cualquier[/center]
lugar dentro de la Bahía de Iliac.[/end]"
284,"Ya poseéis un barco. Debéis venderlo[/center]
antes de poder comprar otro.[/center]
[/end]"
285,"Esta no es una ciudad portuaria, %pcn.[/center]
No tenemos barcos para venderos aquí.[/center]
[/end]"
286,"Ya poseéis una casa. Debéis venderla[/center]
antes de que podamos venderos otra.[/center]
[/end]"
287,"Es un mercado de vendedores para las casas.[/center]
No hay ninguna disponible en este momento.[/center]
[/end]"
288,"%pcn, habéis incumplido[/center]
un préstamo anterior con este banco. No os[/center]
prestaremos dinero bajo ninguna circunstancia.[/center]
Quizás podríais ir a un banco en algún lugar[/center]
que no sea %reg e intentar[/center]
estafarlos a ellos.[/center]
[/end]"
289,"Ya tenéis un préstamo con este banco.[/center]
Debe ser pagado en su totalidad antes de[/center]
que os concedamos otro préstamo.[/center]
[/end]"
290,"Mis sinceras disculpas, pero no tenéis[/center]
tanto en vuestra cuenta.[/center]
[/end]"
